id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
192545,864691135082766327,147040,154048,19794,6,2,4673
192534,864691135294184716,145280,159184,19856,5,6,4836
152709,864691135348308439,124144,120352,15339,7,4,2619
234912,864691135270600869,160512,212672,24155,6,6,8267
155775,864691136091526836,130512,136384,24297,8,5,5425
192904,864691135517111251,140576,158384,22300,5,6,5223
192898,864691135783495987,139744,146240,22362,6,6,4208
152848,864691135104981581,117760,122832,17129,7,4,2399
152805,864691135940541094,126640,126720,16302,9,4,5468
152805,864691135940541094,126640,126720,16302,5,7,2572
192934,864691135754536914,146384,157840,22502,5,6,4845
516988,864691136143696692,305040,109600,20783,9,4,2531
192914,864691135479357126,143152,152080,22065,6,2,5179
192966,864691135383511002,133776,152320,23219,6,2,4797
192979,864691137020843374,135888,154976,22612,5,7,5027
192957,864691135731109049,132000,144592,23376,6,7,3911
192957,864691135731109049,132000,144592,23376,6,6,4203
256456,864691135468597132,176112,114336,20769,6,4,1605
192911,864691135865517276,142368,156144,22482,5,6,4926
